Transcript	Clone	Tx	JJ
x9	C08	Control	D00
x68	C08	Control	D00
x229	C11	Control	D00
x187	C11	Control	D00
x104	C95	Control	D00
x176	C95	Control	D00
x66	C08	Drought	D00
x16	C08	Drought	D00
x216	C11	Drought	D00
x212	C11	Drought	D00
x151	C95	Drought	D00
x134	C95	Drought	D00
x5	C08	Control	D07
x51	C08	Control	D07
x245	C11	Control	D07
x186	C11	Control	D07
x113	C95	Control	D07
x44	C08	Drought	D07
x56	C08	Drought	D07
x242	C11	Drought	D07
x240	C11	Drought	D07
x143	C95	Drought	D07
x102	C95	Drought	D07
x20	C08	Control	D14
x30	C08	Control	D14
x196	C11	Control	D14
x243	C11	Control	D14
x159	C95	Control	D14
x125	C95	Control	D14
x6	C08	Drought	D14
x15	C08	Drought	D14
x256	C11	Drought	D14
x246	C11	Drought	D14
x170	C95	Drought	D14
x126	C95	Drought	D14
x60	C08	Control	D18
x37	C08	Control	D18
x234	C11	Control	D18
x272	C11	Control	D18
x158	C95	Control	D18
x140	C95	Control	D18
x34	C08	Drought	D18
x17	C08	Drought	D18
x214	C11	Drought	D18
x208	C11	Drought	D18
x172	C95	Drought	D18
x109	C95	Drought	D18
x63	C08	Control	D22
x46	C08	Control	D22
x233	C11	Control	D22
x193	C11	Control	D22
x112	C95	Control	D22
x121	C95	Control	D22
x19	C08	Drought	D22
x26	C08	Drought	D22
x195	C11	Drought	D22
x194	C11	Drought	D22
x157	C95	Drought	D22
x180	C95	Drought	D22
