"","group","lib.size","norm.factors"
"X9","C08:Control:D00",11518378,1
"X68","C08:Control:D00",3793875,1
"X229","C11:Control:D00",4799699,1
"X187","C11:Control:D00",5837280,1
"X104","C95:Control:D00",8419795,1
"X176","C95:Control:D00",6041030,1
"X66","C08:Drought:D00",6381437,1
"X16","C08:Drought:D00",3267908,1
"X216","C11:Drought:D00",9620412,1
"X212","C11:Drought:D00",6016676,1
"X151","C95:Drought:D00",3580274,1
"X134","C95:Drought:D00",9206176,1
"X5","C08:Control:D07",3940396,1
"X51","C08:Control:D07",2158049,1
"X245","C11:Control:D07",3331371,1
"X186","C11:Control:D07",7457576,1
"X113","C95:Control:D07",6440318,1
"X44","C08:Drought:D07",12286151,1
"X56","C08:Drought:D07",6436962,1
"X242","C11:Drought:D07",9750382,1
"X240","C11:Drought:D07",3931786,1
"X143","C95:Drought:D07",8547832,1
"X102","C95:Drought:D07",4500935,1
"X20","C08:Control:D14",7562197,1
"X30","C08:Control:D14",14905440,1
"X196","C11:Control:D14",1134479,1
"X243","C11:Control:D14",9691645,1
"X159","C95:Control:D14",3311203,1
"X125","C95:Control:D14",10311532,1
"X6","C08:Drought:D14",4238408,1
"X15","C08:Drought:D14",1947021,1
"X256","C11:Drought:D14",18318057,1
"X246","C11:Drought:D14",14833724,1
"X170","C95:Drought:D14",7956135,1
"X126","C95:Drought:D14",14914736,1
"X60","C08:Control:D18",14546817,1
"X37","C08:Control:D18",2881627,1
"X234","C11:Control:D18",9020965,1
"X272","C11:Control:D18",954487,1
"X158","C95:Control:D18",5541522,1
"X140","C95:Control:D18",15633553,1
"X34","C08:Drought:D18",15364263,1
"X17","C08:Drought:D18",2426070,1
"X214","C11:Drought:D18",2036003,1
"X208","C11:Drought:D18",13106702,1
"X172","C95:Drought:D18",1480420,1
"X109","C95:Drought:D18",15920139,1
"X63","C08:Control:D22",6672838,1
"X46","C08:Control:D22",6382507,1
"X233","C11:Control:D22",9697384,1
"X193","C11:Control:D22",4622800,1
"X112","C95:Control:D22",12565769,1
"X121","C95:Control:D22",8251521,1
"X19","C08:Drought:D22",16713289,1
"X26","C08:Drought:D22",10351928,1
"X195","C11:Drought:D22",1475048,1
"X194","C11:Drought:D22",3754161,1
"X157","C95:Drought:D22",1294674,1
"X180","C95:Drought:D22",4221844,1
